gen_name|original_name|last|lastSz|askPx|askSz|bidPx|bidSz|open24h|high24h|low24h|volCcy24h|vol24h|ts|sodUtc0|sodUtc8|alias|baseCcy|category|ctMult|ctType|ctVal|ctValCcy|expTime|instFamily|instType_y|lever|listTime|lotSz|maxIcebergSz|maxLmtAmt|maxLmtSz|maxMktAmt|maxMktSz|maxStopSz|maxTriggerSz|maxTwapSz|minSz|optType|quoteCcy|settleCcy|state|stk|tickSz|uly
ETCUSDT|ETC-USDT|26.99|14.601563|26.98|33.375|26.97|188.902559|25.65|27.31|25.44|14092292.63411942|529716.732562|1707816698105|26.91|26.45||ETC|1|||||||SPOT|10|1548133413000|0.000001|999999999999.0000000000000000|20000000|999999999999|1000000|1000000|1000000|999999999999.0000000000000000|999999999999.0000000000000000|0.1||USDT||live||0.01|
TAMAUSDT|TAMA-USDT|0.00615|42902|0.00615|33380.75|0.00613|2092.22|0.00623|0.00644|0.00604|831507.6644399|133930311.95|1707816695709|0.00635|0.00631||TAMA|1|||||||SPOT||1664264522000|0.01|9999999999999999.0000000000000000|20000000|9999999999999999|1000000|1000000|1000000|9999999999999999.0000000000000000|9999999999999999.0000000000000000|100||USDT||live||0.00001|
ASTRUSDT|ASTR-USDT|0.18719|1178.477935|0.18718|1282.38258|0.18709|17332.557304|0.18346|0.19505|0.18191|4864682.80745378288|25697761.473532|1707816694104|0.19085|0.18865||ASTR|1|||||||SPOT||1642405602000|0.000001|999999999999.0000000000000000|20000000|999999999999|1000000|1000000|1000000|999999999999.0000000000000000|999999999999.0000000000000000|10||USDT||live||0.00001|
CTXCUSDT|CTXC-USDT|0.5808|143.452915|0.581|10.25266|0.5808|182.797085|0.5494|0.5809|0.5359|547201.2442637381|982592.193351|1707816687207|0.5639|0.566||CTXC|1|||||||SPOT||1548133413000|0.000001|999999999999.0000000000000000|20000000|999999999999|1000000|1000000|1000000|999999999999.0000000000000000|999999999999.0000000000000000|10||USDT||live||0.0001|
MANABTC|MANA-BTC|0.0000095|351.4|0.00000956|2617.8|0.00000953|718.18|0.00000978|0.00000978|0.0000095|0.0310585976|3216.15|1707816696312|0.00000964|0.00000971||MANA|1|||||||SPOT|3|1548133413000|0.01|9999999999999999.0000000000000000|20000000|9999999999999999|1000000|1000000|1000000|9999999999999999.0000000000000000|9999999999999999.0000000000000000|10||BTC||live||0.00000001|
BCHUSDT|BCH-USDT|278.4|0.384644|278.4|0.059635|278.3|33.920164|271.6|289.6|270.5|24210846.7963653|86204.39939|1707816697609|280.5|284.3||BCH|1|||||||SPOT|10|1605477603000|0.000001|999999999999.0000000000000000|20000000|999999999999|1000000|1000000|1000000|999999999999.0000000000000000|999999999999.0000000000000000|0.01||USDT||live||0.1|
ETCUSDC|ETC-USDC|26.96|6.3|26.99|19.6642|26.96|3.7063|25.67|27.29|25.51|63579.382178|2366.769|1707816691310|26.94|26.47||ETC|1|||||||SPOT|10|1660023174000|0.0001|99999999999999.0000000000000000|20000000|99999999999999|1000000|1000000|1000000|99999999999999.0000000000000000|99999999999999.0000000000000000|0.1||USDC||live||0.01|
ASTRUSDC|ASTR-USDC|0.18738|42.4322|0.18753|1004.336|0.1872|40.6943|0.18336|0.19494|0.18208|31561.472218485|167015.232|1707816690811|0.19116|0.18882||ASTR|1|||||||SPOT||1654585199000|0.0001|99999999999999.0000000000000000|20000000|99999999999999|1000000|1000000|1000000|99999999999999.0000000000000000|99999999999999.0000000000000000|10||USDC||live||0.00001|
ETHDAI|ETH-DAI|2653.33|0.013393|2667.45|0.17762|2642.55|0.242923|2486.8|2679.99|2470.31|7080.09768021|2.722081|1707816696509|2666.33|2562.16||ETH|1|||||||SPOT||1576623617000|0.000001|999999999999.0000000000000000|20000000|999999999999|1000000|1000000|1000000|999999999999.0000000000000000|999999999999.0000000000000000|0.001||DAI||live||0.01|
VSYSUSDT|VSYS-USDT|0.001207|70169.529853|0.001209|54686.084931|0.001205|130.360606|0.001195|0.001238|0.001165|395480.023098320501|335099814.173529|1707816669214|0.001187|0.001195||VSYS|1|||||||SPOT||1548133413000|0.000001|999999999999.0000000000000000|20000000|999999999999|1000000|999999|999999|999999999999.0000000000000000|999999999999.0000000000000000|100||USDT||live||0.000001|
