|gen_name|name_BIT|name_EXMO|name_HTX|name_OKX|name_MEXC
1901|DOTUSDT|DOT-USDT|DOT_USDT|dotusdt|DOT-USDT|DOT-USDT
1902|BLTUSDT|None|None|None|None|None
1903|MCHCUSDT|None|None|None|None|None
1904|SUNBTC|None|None|sunbtc|None|None
1905|BISTUSDT|None|None|None|None|None
1906|FACEUSDT|None|None|faceusdt|None|None
1907|BLURUSDC|None|None|None|BLUR-USDC|BLUR-USDC
1908|MKRUSDC|None|None|None|MKR-USDC|MKR-USDC
1909|MPTUSDT|None|None|None|None|None
1910|AVAXEUR|None|None|None|AVAX-EUR|AVAX-EUR
1911|FDVUSDT|None|None|None|None|None
1912|NYMUSDT|None|None|nymusdt|NYM-USDT|NYM-USDT
1913|TGTUSDT|None|None|None|None|None
1914|DFIUSDT|DFI-USDT|None|dfiusdt|None|None
1915|STXUSDT|None|None|None|STX-USDT|STX-USDT
1916|CHOUSDT|None|None|None|None|None
1917|NEARUSDT|NEAR-USDT|NEAR_USDT|nearusdt|NEAR-USDT|NEAR-USDT
1918|TPTUSDT|None|None|None|None|None
1919|CGGUSDT|None|None|None|None|None
1920|HBBUSDT|None|None|hbbusdt|None|None
1921|ZBCUSDT|None|None|zbcusdt|ZBC-USDT|ZBC-USDT
1922|PTHUSDT|None|None|None|None|None
1923|MXMUSDT|None|None|None|None|None
1924|ZKBUSDT|None|None|zkbusdt|None|None
1925|ARBUSDT|None|None|arbusdt|ARB-USDT|ARB-USDT
1926|RPKUSDT|None|None|rpkusdt|None|None
1927|ACHETH|None|None|acheth|None|None
1928|CLOUDUSDT|None|None|None|None|None
1929|RAZORUSDT|None|None|None|None|None
1930|XRPBABYUSDT|None|None|None|None|None
1931|W3SUSDT|None|None|None|None|None
1932|HECUSDT|None|None|hecusdt|None|None
1933|LRCUSDT|None|None|lrcusdt|LRC-USDT|LRC-USDT
1934|SEXUSDT|None|None|None|None|None
1935|BENJIUSDT|None|None|benjiusdt|None|None
1936|BNXUSDT|None|None|None|None|None
1937|X2Y2USDT|None|None|None|None|None
1938|ARTIUSDT|None|None|None|None|None
1939|CYBERUSDT|None|None|cyberusdt|None|None
1940|MEMESUSDT|None|None|None|None|None
1941|CHESSUSDT|CHESS-USDT|None|None|None|None
1942|MEERUSDT|None|None|None|None|None
1943|LINKEUR|None|None|None|LINK-EUR|LINK-EUR
1944|MEMEMEUSDT|None|None|None|None|None
1945|SENSOUSDT|None|None|None|None|None
1946|JSTETH|None|None|jsteth|None|None
1947|PYRUSDT|None|None|pyrusdt|None|None
1948|ELUUSDT|None|None|eluusdt|None|None
1949|SERSHUSDT|None|None|None|None|None
1950|VITEUSDT|None|None|None|None|None
1951|ORBUSDT|None|None|orbusdt|ORB-USDT|ORB-USDT
1952|VTCUSDT|None|None|None|None|None
1953|FONUSDT|None|None|None|None|None
1954|GDCUSDT|None|None|None|None|None
1955|ZYBUSDC|None|None|None|None|None
1956|SECUSDT|None|None|None|None|None
1957|PENDULUMUSDT|None|None|None|None|None
1958|CHRUSDT|None|None|chrusdt|None|None
1959|BTCBAMUSDT|None|None|None|None|None
1960|KAKAUSDT|None|None|None|None|None
1961|VEMPUSDT|None|None|vempusdt|None|None
1962|HEARTUSDT|None|None|None|None|None
1963|MEMEMUSKUSDT|None|None|None|None|None
1964|NXRAUSDT|None|None|None|None|None
1965|BENQIUSDT|None|None|None|None|None
1966|VIZUSDT|None|None|None|None|None
1967|PUNDIXUSDT|None|None|pundixusdt|None|None
1968|CDNUSDT|None|None|None|None|None
1969|XTSUSDT|None|None|None|None|None
1970|RAKEUSDT|None|None|None|None|None
1971|AOSUSDT|None|None|None|None|None
1972|JB2024USDT|None|None|None|None|None
1973|HOPUSDC|None|None|None|None|None
1974|BBFUSDT|None|None|bbfusdt|None|None
1975|MTBTC|None|None|mtbtc|None|None
1976|HOPRUSDT|None|None|None|None|None
1977|RADAUSDT|None|None|None|None|None
1978|GEARBOXUSDT|None|None|gearboxusdt|None|None
1979|KRIPTOUSDT|None|None|kriptousdt|None|None
1980|GROOOOOKUSDT|None|None|None|None|None
1981|LITHOUSDT|None|None|None|None|None
1982|SAOUSDT|None|None|saousdt|None|None
1983|PNKUSDT|None|None|None|None|None
1984|ZETRIXUSDT|None|None|None|None|None
1985|BUPUSDT|None|None|None|None|None
1986|PYTHUSDT|None|None|pythusdt|PYTH-USDT|PYTH-USDT
1987|RETUSDT|None|None|None|None|None
1988|CALMUSDT|None|None|None|None|None
1989|TRXETH|None|None|trxeth|TRX-ETH|TRX-ETH
1990|VRAUSDT|None|None|vrausdt|VRA-USDT|VRA-USDT
1991|LQTYUSDT|None|None|lqtyusdt|LQTY-USDT|LQTY-USDT
1992|EGLDUSDC|None|None|None|EGLD-USDC|EGLD-USDC
1993|TIGERUSDT|None|None|None|None|None
1994|PPXUSDT|None|None|None|None|None
1995|CELTUSDT|None|None|None|None|None
1996|BNSXUSDT|None|None|bnsxusdt|None|None
