gen_name|original_name|open|high|low|close|amount|vol|count|bid|bidSize|ask|askSize
JUPUSDT|jupusdt|0.4884|0.5165|0.4847|0.5065|49196615.513844594|24512706.78285986|58396|0.5059|1503.6338|0.5071|658.4326
BNSXUSDT|bnsxusdt|0.2349|0.3|0.234|0.2685|2741994.9107928104|693056.9418302954|13726|0.2635|92.966|0.2734|110.1559
HOTUSDT|hotusdt|0.001958|0.002023|0.001942|0.002003|575465959.2236|1139870.0328553955|13440|0.001992|55890.8004|0.002021|43556.5158
GLMUSDT|glmusdt|0.2162|0.2239|0.2155|0.217|172981.39458243863|37642.02088654|1627|0.216|400.4|0.218|184.8463
ETHBTC|ethbtc|0.051252|0.05367|0.051162|0.053163|817.3874|42.7757078849|5819|0.053144|0.01|0.053163|0.4973
BTCPYUSD|btcpyusd|49355.8|49355.8|48900.46|48900.46|0.006401|313.37633406|3|49108.4|0.017591|59999.86|0.058407
VSYSUSDT|vsysusdt|0.001199|0.001229|0.001186|0.001214|42480313.59480229|50876.14000337211|923|0.001214|2988.0|0.001228|41415.18
TPYUSDT|tpyusdt|0.5645|0.6087|0.5501|0.5993|1075265.8538668675|610379.75984983|18702|0.5924|37.7147|0.6074|126.4302
NFTUSDT|nftusdt|4.442e-07|4.448e-07|4.4e-07|4.416e-07|19259631464505.062|8503775.632396108|140638|4.409e-07|35978093.0|4.423e-07|4029411375.0
BATUSDT|batusdt|0.2341|0.2463|0.2326|0.2375|11465614.066350954|2694055.797361|25371|0.2372|60.0|0.2375|2651.03
ACSUSDT|acsusdt|0.002663|0.002746|0.002577|0.002648|309933882.0622472|824762.7897309426|9966|0.002642|78513.1817|0.002661|9509.0
KUBEUSDT|kubeusdt|0.006603|0.007492|0.006559|0.007303|4483211.9488|30872.8871809961|1451|0.007301|2316.0071|0.007307|25156.07
H9H9X6Z7|h9h9x6z7|1.17|1.17|1.17|1.17|0.0|0.0|0|0.0|0.0|0.0|0.0
WINUSDD|winusdd|0.00010078|0.00010212|9.949e-05|9.952e-05|2413964261.720108|243938.8507712686|1648|9.927e-05|4243801.88|0.00010026|10533924.6
REVOUSDT|revousdt|0.016867|0.017603|0.016|0.016146|68739673.2903349|1120190.6616098357|16087|0.016127|1109.7791|0.016164|1106.3008
SNTUSDT|sntusdt|0.039253|0.040015|0.038949|0.03941|5947351.189016784|233811.1892318332|7900|0.039353|34818.0258|0.039457|22376.4208
FLOKIUSDT|flokiusdt|3.143e-05|3.273e-05|3.12e-05|3.22e-05|51747909801.116394|1641928.7867640683|41873|3.217e-05|35011901.08|3.223e-05|30911901.08
XMRUSDT|xmrusdt|123.88|129.1|123.44|124.56|9584.587218700115|1207334.02484089|17361|124.48|0.161|124.71|0.1648
ZKPUSDT|zkpusdt|0.02394|0.02434|0.02387|0.02432|2586817.2856845395|62494.14261115021|1107|0.0243|1643.493|0.02434|478.02007567789644
CHRUSDT|chrusdt|0.351285|0.363352|0.347658|0.358788|398444.3428548008|140618.20832588|4626|0.357668|4637.68|0.359199|4637.68
XCADUSDT|xcadusdt|1.3269|1.3971|1.3036|1.3213|373984.6912904291|495784.78182666|2502|1.305|21.9152|1.3249|39.4741
DYDXUSDT|dydxusdt|2.9391|3.0597|2.9193|3.0319|497699.29182298173|1486204.389865744|17535|3.0312|0.6794|3.034|58.1293
MANAUSDT|manausdt|0.4787|0.4913|0.4739|0.4767|19436197.528429173|9301824.49336325|92985|0.4766|1053.09|0.4769|464.76
A8S83LD8F8|a8s83ld8f8|7.32|7.32|7.32|7.32|0.0|0.0|0|0.0|0.0|0.0|0.0
NYMUSDT|nymusdt|0.1906|0.1945|0.1889|0.1934|1920375.403972851|367116.79412834|7708|0.1931|87.2651|0.1942|435.7469
ETCUSDT|etcusdt|26.4432|27.287|26.2049|26.9302|564978.2080615405|15005536.19396952|57957|26.9249|59.0939|26.9337|3.2087
BORINGUSDT|boringusdt|0.002979|0.0045|0.002972|0.004089|19266046.224206425|64283.28349436|2314|0.004064|7298.19|0.004198|12151.47
H8H8X6Z7|h8h8x6z7|0.00242|0.00242|0.00242|0.00242|0.0|0.0|0|0.0|0.0|0.0|0.0
ORBRUSDT|orbrusdt|0.3551|0.3563|0.3211|0.3533|648137.6197541842|225927.72135261|932|0.3465|31.0|0.3544|31.0
SEIUSDT|seiusdt|0.7011|0.7654|0.6945|0.7347|42947176.627092876|31191916.44145454|306338|0.7343|1634.9296|0.7354|886.5903
WBTCBTC|wbtcbtc|1.0048|1.0049|1.0048|1.0049|0.000969807941088665|0.0009745199999999994|2|0.9916|0.0114|1.0049|0.000630192058911335
WSMUSDT|wsmusdt|0.007821|0.008294|0.007264|0.007917|158679519.21105862|1251746.3713479424|17622|0.007911|18960.9404|0.007923|2400.0359
VICUSDT|vicusdt|0.7283|0.7561|0.7244|0.7495|3124897.8903223034|2289572.42911419|27883|0.7473|49.6838|0.7517|14.5757
SNCETH|snceth|1.379e-05|1.381e-05|1.321e-05|1.348e-05|4060135.93|54.4317800588|2124|1.321e-05|93.89|1.345e-05|1603.5
TRACEUSDT|traceusdt|0.00877|0.00917|0.00859|0.00871|7501188.21429534|66756.185751847|980|0.00863|7995.365|0.00893|4750.9463
JSTBTC|jstbtc|6.341e-07|6.37e-07|6.227e-07|6.24e-07|10590874.86|6.70666664737|4173|6.224e-07|3160.3|6.246e-07|2503.93
MUBIUSDT|mubiusdt|0.0913|0.1086|0.0912|0.1004|7898528.252902148|769697.1262219269|16415|0.1003|194.0821|0.1008|536.7917
STEEMUSDT|steemusdt|0.2264|0.2287|0.2243|0.2281|670582.587|151549.42285588|1553|0.2281|11648.3663|0.2283|1254.0
AIOZUSDT|aiozusdt|0.1423|0.1487|0.1423|0.1457|224657.0564|32446.19177892|1666|0.1444|140.2524|0.1473|112.0661
CYBERUSDT|cyberusdt|7.4373|7.7133|7.3898|7.6453|465610.3486605297|3509170.68644799|42976|7.6433|5.0|7.6475|2.6
POLSUSDT|polsusdt|0.8324|0.856|0.818|0.8333|349496.4523600778|288635.23237847|7716|0.827|244.0013|0.8387|536.6772
AURYUSDT|auryusdt|1.0265|1.0739|1.0265|1.0592|77000.96631961133|80200.73758612|1327|1.0584|73.5927|1.0594|15.8755
AQTUSDT|aqtusdt|1.3613|1.4671|1.3264|1.4454|35640.9270646036|49383.557105970285|1263|1.4124|48.853|1.4417|12.0723
STPTUSDT|stptusdt|0.054298|0.055543|0.054005|0.054979|571501.28|31234.12271337|1648|0.055008|22826.71|0.055079|558.71
SILLYUSDT|sillyusdt|0.03369|0.03748|0.0331|0.03612|35825376.96898782|1244690.7754861992|23359|0.03599|929.4513|0.03629|1520.0
MNTUSDT|mntusdt|0.662|0.797|0.6545|0.7157|1461210.9272476942|988782.976065|10312|0.7097|210.7|0.7191|261.5115
DORAUSDT|dorausdt|0.1905|0.2042|0.1866|0.1912|1054943.0481580056|203163.27055384|7683|0.1892|364.6934|0.1931|139.7337
ICXUSDT|icxusdt|0.2248|0.2292|0.2235|0.2273|532556.7026373043|120400.22632578|4005|0.2271|6189.3955|0.2275|6627.4151
UNIBOTUSDT|unibotusdt|54.5542|61.6666|53.7604|54.7047|27458.19115382602|1505780.2756823|18669|54.4824|0.3347|54.9099|0.341
AKROUSDT|akrousdt|0.005078|0.005192|0.005071|0.005177|63590965.87533615|325260.64423476043|5038|0.005168|49192.43|0.005184|12199.07
PLAUSDT|plausdt|0.1174|0.121|0.1159|0.116|45356.38393778768|5333.50533862|38|0.1159|145.2496|0.116|3259.7802
