currency|chain|display_name|deposit_status|withdraw_status
eoss|eoss|EOSS|prohibited|prohibited
hive|hive|HIVE|allowed|allowed
jst|jst|TRC20|allowed|allowed
ogn|ogn|ERC20|allowed|allowed
rvn|rvn|RVN|allowed|allowed
usd01|husd707|ERC20|prohibited|prohibited
nest|erc20nest|ERC20|allowed|allowed
nest|hrc20nest|HECO|prohibited|prohibited
dot|dot|DOT|allowed|allowed
dot|hdot|ERC20|allowed|prohibited
dot|hrc20dot|HECO|prohibited|prohibited
ksm|hrc20ksm|HECO|prohibited|prohibited
ksm|ksm|KSM|allowed|prohibited
chr|chr1|ERC20|allowed|allowed
chr|hrc20chr|HECO|prohibited|prohibited
lunc|hrc20luna|HECO|prohibited|prohibited
lunc|luna1|LUNC|allowed|allowed
bal|bal|ERC20|allowed|allowed
bal|hrc20bal|HECO|prohibited|prohibited
band|band2|BAND|allowed|allowed
nvt|nvt|NULS|prohibited|prohibited
ant|ant1|ERC20|allowed|allowed
mkr|hrc20mkr|HECO|prohibited|prohibited
mkr|mkr|ERC20|allowed|allowed
dai|dai|ERC20|allowed|allowed
dai|hrc20dai|HECO|prohibited|prohibited
crv|crv|ERC20|allowed|allowed
crv|hrc20crv|HECO|prohibited|prohibited
ankr|ankr|ERC20|allowed|allowed
dka|dka|ERC20|allowed|allowed
comp|comp|ERC20|allowed|allowed
comp|hrc20comp|HECO|prohibited|prohibited
snx|hrc20snx|HECO|prohibited|prohibited
snx|snx|ERC20|allowed|allowed
lend|lend|ERC20|allowed|prohibited
trb|trb1|ERC20|allowed|allowed
stpt|hrc20stpt|HECO|prohibited|prohibited
stpt|stpt|ERC20|allowed|allowed
wnxm|hrc20wnxm|HECO|prohibited|prohibited
wnxm|wnxm|ERC20|allowed|allowed
yfii|hrc20yfii|HECO|prohibited|prohibited
yfii|yfii|ERC20|allowed|allowed
yfi|hrc20yfi|HECO|prohibited|prohibited
yfi|yfi|ERC20|allowed|allowed
bnt|bnt|ERC20|allowed|allowed
bnt|hrc20bnt|HECO|prohibited|prohibited
df|df|ERC20|allowed|allowed
df|hrc20df|HECO|prohibited|prohibited
spa|spa2|ERC20|allowed|prohibited
mln|hrc20mln|HECO|prohibited|prohibited
mln|mln|ERC20|allowed|allowed
value|value|ERC20|prohibited|prohibited
yam|yam|ERC20|prohibited|prohibited
yamv2|yamv2|ERC20|prohibited|prohibited
pearl|pearl|TRC20|allowed|prohibited
swrv|hrc20swrv|HECO|prohibited|prohibited
swrv|swrv|ERC20|prohibited|prohibited
auction|auction|ERC20|allowed|allowed
bot|bot|ERC20|prohibited|prohibited
sun|sun1|TRC20|allowed|allowed
wing|wing1|ONTOLOGY|prohibited|prohibited
nbs|nbs|NBS|allowed|allowed
avax|avax|AVAX|allowed|prohibited
avax|cchainavax|CCHAIN|allowed|allowed
fis|fis|FIS|allowed|allowed
ar|ar|AR|allowed|allowed
hbar|hbar|HBAR|allowed|allowed
fil|fil|FIL|allowed|allowed
fil|fvmfil|FIL-0X|prohibited|allowed
fil|hfil|ERC20|allowed|prohibited
fil|hrc20fil|HECO|prohibited|prohibited
near|near|NEAR|allowed|allowed
aave|aave|ERC20|allowed|allowed
aave|hrc20aave|HECO|prohibited|prohibited
mass|mass|MASS|prohibited|allowed
sol|hrc20sol|HECO|prohibited|prohibited
sol|sol|SOLANA|allowed|allowed
kava|kava10|KAVA|allowed|allowed
beth|hrc20beth|HECO|prohibited|prohibited
skl|skl|ERC20|allowed|allowed
bag|bag|HECO|prohibited|prohibited
bags|bags|HECO|prohibited|prohibited
reef|bep20reef|BEP20|prohibited|prohibited
reef|reef|ERC20|allowed|allowed
don|don|IOST|prohibited|allowed
xym|xym1|XYM|allowed|allowed
rndr|rndr|ERC20|allowed|allowed
can|can1|HECO|prohibited|prohibited
eur|eur|EUR|prohibited|prohibited
gbp|gbp|GBP|prohibited|prohibited
nu|nu|ERC20|prohibited|prohibited
ctsi|ctsi|ERC20|allowed|allowed
rlc|rlc|ERC20|allowed|allowed
xrt|xrt|ERC20|prohibited|allowed
woo|hrc20woo|HECO|prohibited|prohibited
woo|woo|ERC20|allowed|allowed
wbtc|hrc20wbtc|HECO|prohibited|prohibited
wbtc|wbtc|ERC20|allowed|allowed
uni|hrc20uni|HECO|prohibited|prohibited
uni|uni|ERC20|allowed|allowed
uma|hrc20uma|HECO|prohibited|prohibited
uma|uma|ERC20|allowed|allowed
titan|titan|ERC20|allowed|allowed
sushi|hrc20sushi|HECO|prohibited|prohibited
sushi|sushi|ERC20|allowed|allowed
stn|stn|ERC20|prohibited|prohibited
sand|sand|ERC20|allowed|allowed
renbtc|renbtc|ERC20|prohibited|prohibited
sofi|rai1|ERC20|allowed|allowed
pond|pond|ERC20|allowed|allowed
pols|pols|ERC20|allowed|allowed
pha|hrc20pha|HECO|prohibited|prohibited
pha|pha|ERC20|allowed|allowed
perp|perp|ERC20|allowed|prohibited
oxt|oxt|ERC20|allowed|allowed
onx|onx|ERC20|prohibited|prohibited
nsure|nsure|ERC20|allowed|allowed
nsbt|nsbt|ERC20|prohibited|prohibited
nhbtc|hrc20nhbtc|HECO|prohibited|prohibited
nhbtc|nhbtc|ERC20|prohibited|prohibited
mir|mir|ERC20|prohibited|prohibited
matic|hrc20matic|HECO|prohibited|prohibited
matic|matic|ERC20|allowed|allowed
matic|matic1|MATIC|allowed|allowed
mask|hrc20mask|HECO|prohibited|prohibited
mask|mask|ERC20|allowed|allowed
lrc|hrc20lrc|HECO|prohibited|prohibited
lrc|lrc|ERC20|allowed|allowed
lina|lina|ERC20|allowed|allowed
insur|hrc20insur|HECO|prohibited|prohibited
insur|insur|ERC20|allowed|allowed
inj|inj|ERC20|allowed|allowed
grt|grt|ERC20|allowed|allowed
grt|hrc20grt|HECO|prohibited|prohibited
gof|gof|ERC20|prohibited|prohibited
gof|hrc20gof|HECO|prohibited|prohibited
front|front|ERC20|allowed|prohibited
forth|forth|ERC20|allowed|allowed
enj|enj1|ENJ|allowed|allowed
dht|dht|ERC20|prohibited|prohibited
dht|hrc20dht|HECO|prohibited|prohibited
cvp|cvp|ERC20|allowed|allowed
cvp|hrc20cvp|HECO|prohibited|prohibited
cru|cru|ERC20|allowed|allowed
cru|cru1|CRUST|allowed|allowed
cru|hrc20cru|HECO|prohibited|prohibited
chz|chz|ERC20|allowed|allowed
chz|chz2|CHZ|allowed|prohibited
bel|bel|ERC20|prohibited|prohibited
badger|badger|ERC20|allowed|allowed
axs|axs1|ERC20|allowed|allowed
axs|hrc20axs|HECO|prohibited|prohibited
apn|apn|ERC20|prohibited|prohibited
api3|api3|ERC20|allowed|allowed
ach|ach|ERC20|allowed|allowed
ach|hrc20ach|HECO|prohibited|prohibited
1inch|1inch|ERC20|allowed|allowed
1inch|hrc201inch|HECO|prohibited|prohibited
icp|icp|ICP|allowed|allowed
cspr|cspr|CSPR|allowed|allowed
filda|filda|HECO|prohibited|prohibited
flow|flow|FLOW|allowed|allowed
iotx|iotx|IOTX|allowed|allowed
lhb|lhb|HECO|prohibited|prohibited
mdx|erc20mdx|ERC20|prohibited|prohibited
mdx|mdx|HECO|prohibited|prohibited
qi|qi|QI|prohibited|allowed
ring|hrc20ring|HECO|prohibited|prohibited
ring|ring|ERC20|allowed|allowed
pundix|pundix|ERC20|allowed|allowed
shib|hrc20shib|HECO|prohibited|prohibited
shib|shib|ERC20|allowed|allowed
lat|lat|LAT|allowed|allowed
apt|apt|APT|allowed|allowed
bnb|bnb1|BEP20|allowed|allowed
ghst|ghst|ERC20|allowed|prohibited
klay|klay|KLAY|allowed|allowed
xch|hrc20xch|HECO|prohibited|prohibited
xch|xch|XCH|allowed|allowed
o3|o3|ERC20|prohibited|prohibited
nft|erc20nft|ERC20|allowed|prohibited
nft|hrc20nft|HECO|prohibited|prohibited
nft|nft|TRC20|allowed|allowed
mina|mina|MINA|allowed|allowed
xec|xec1|ECASH|allowed|allowed
amp|amp|ERC20|allowed|allowed
clv|clv|ERC20|allowed|allowed
dfa|dfa|ERC20|prohibited|prohibited
dfa|hrc20dfa|HECO|prohibited|prohibited
dao|dao|ERC20|allowed|allowed
sku|hrc20sku|HECO|prohibited|prohibited
sku|sku|ERC20|prohibited|prohibited
rad|rad|ERC20|allowed|allowed
epik|epik|ERC20|allowed|allowed
epik|hrc20epik|HECO|prohibited|prohibited
whale|whale|ERC20|allowed|allowed
xprt|xprt|XPRT|allowed|allowed
ftm|ftm|FTM|allowed|allowed
coti|coti|COTI|allowed|allowed
coti|erc20coti|ERC20|allowed|prohibited
push|push|ERC20|allowed|allowed
tribe|tribe|ERC20|prohibited|prohibited
wozx|wozx|ERC20|allowed|allowed
talk|talk|ERC20|prohibited|prohibited
eden|eden|ERC20|prohibited|prohibited
galft|cap20gal|CAP20|allowed|allowed
imx|hrc20imx|HECO|prohibited|prohibited
imx|imx|ERC20|allowed|allowed
ens|ens|ERC20|allowed|allowed
trace|trace|ERC20|allowed|allowed
kt|bep20kt|BEP20|allowed|allowed
adt|adt|ERC20|allowed|prohibited
mgo|mgo|ERC20|allowed|prohibited
abl|abl|ERC20|allowed|prohibited
wgp|wgp|WGP|prohibited|prohibited
wgp|wgp1|ERC20|allowed|prohibited
mvl|mvl|ERC20|allowed|prohibited
mzk|mzk|ERC20|allowed|prohibited
1cat|1cat|ERC20|allowed|allowed
1sol|1sol|ERC20|prohibited|prohibited
abbc|abbc|BEP20|allowed|allowed
aca|aca|ACA|allowed|allowed
ace|ace|BEP20|allowed|allowed
acs|acs|SOLANA|allowed|allowed
adp|adp|ERC20|allowed|allowed
aegis|aegis|ERC20|prohibited|prohibited
agix|agix|ERC20|allowed|allowed
agld|agld|ERC20|allowed|allowed
ai|ai|BEP20|allowed|allowed
aidoge|aidoge|ARBITRUMONE|allowed|allowed
aioz|aioz|ERC20|allowed|allowed
aitech|aitech|BEP20|allowed|allowed
akt|akt|AKT|allowed|allowed
ali|ali|ERC20|allowed|allowed
alice|alice|ERC20|allowed|allowed
alt|alt|ERC20|allowed|allowed
alt0|alt0|BEP20|allowed|allowed
amu|amu|SPL|allowed|allowed
analos|analos|SOLANA|allowed|allowed
anc|anc|TERRACLASSIC|prohibited|allowed
anml|anml|ERC20|allowed|allowed
anml|maticanml|MATIC|allowed|allowed
anv|anv|ERC20|allowed|allowed
aos|aos|BEP20|prohibited|allowed
ape|ape|ERC20|allowed|allowed
aped|aped|ERC20|allowed|allowed
aqt|aqt|ERC20|allowed|allowed
arb|arb|ARBITRUMONE|allowed|allowed
arg|cap20arg|CAP20|allowed|allowed
arix|bep20arix|BEP20|prohibited|prohibited
arix|erc20arix|ERC20|prohibited|prohibited
arkm|arkm|ERC20|allowed|allowed
arkn|arkn|BEP20|allowed|allowed
ars|ars|ARS|prohibited|prohibited
arty|arty|BEP20|allowed|allowed
arv|arv|BEP20|allowed|allowed
astr|astr|ASTR|allowed|allowed
atm|cap20atm|CAP20|allowed|allowed
ats|ats|SOLANA|prohibited|allowed
audio|audio|ERC20|allowed|allowed
aurora|aurora|ERC20|allowed|allowed
aury|aury|SOLANA|allowed|allowed
azero|azero|AZERO|allowed|allowed
baby|baby|ERC20|allowed|allowed
babydoge|babydoge|BEP20|allowed|allowed
babydoge|babydoge1|ERC20|allowed|allowed
bake|bake|BEP20|allowed|allowed
banana|banana|ERC20|allowed|allowed
bbc|bep20bbc|BEP20|allowed|allowed
bbf|bbf|ERC20|allowed|allowed
beamx|beamx|ERC20|allowed|allowed
benji|erc20benji|ERC20|allowed|allowed
berry|berry|ERC20|allowed|allowed
bico|bico|ERC20|allowed|allowed
bitci|bitci|BITCI|allowed|allowed
bld|bld|BLD|allowed|allowed
blur|blur|ERC20|allowed|allowed
bnsx|bnsx|BRC20|allowed|allowed
bob|bob1|ERC20|allowed|prohibited
boba|boba|ERC20|allowed|allowed
bone|bone|ERC20|allowed|allowed
bonk|bonk|SOLANA|allowed|allowed
boo|boo|FTM|prohibited|allowed
borg|borg|ERC20|allowed|allowed
boring|boring|ERC20|allowed|allowed
boson|boson|ERC20|allowed|allowed
bp|bp|ERC20|prohibited|prohibited
breed|breed|ERC20|allowed|allowed
breed|polybreed|MATIC|allowed|prohibited
brise|brise|BRISE|allowed|allowed
brl|brl|BRL|prohibited|prohibited
brt|brt|BEP20|prohibited|allowed
brwl|brwl|ERC20|allowed|allowed
