gen_name|original_name|open|high|low|close|amount|vol|count|bid|bidSize|ask|askSize
PLAUSDT|plausdt|0.1227|0.125|0.0806|0.1019|233516.34027796716|23565.851492138103|691|0.1027|129.7405|0.1047|393.8855
BORGUSDT|borgusdt|0.1725|0.184|0.1713|0.1808|6045564.0624|1075815.94740432|30371|0.1794|139.3533|0.1827|216.48
SDAOUSDT|sdaousdt|0.4717|0.4921|0.4426|0.4591|107297.33079444722|50408.17896554|2839|0.4495|65.5041|0.4613|97.8213
DCKUSDT|dckusdt|0.06553|0.0694|0.0636|0.06771|3338105.3067731047|222376.63332655156|9143|0.06747|9841.1|0.06799|1950.11
ACTUSDT|actusdt|0.001303|0.001357|0.001256|0.001308|65690370.493413925|85265.03987499|1495|0.001293|28030.88|0.00132|11798.25
DOTUSDT|dotusdt|7.7387|8.1476|7.6291|7.8197|2762528.6696931487|21669985.44266013|88095|7.8177|27.1702|7.8217|41.6681
GROKUSDT|grokusdt|0.004999|0.006076|0.004877|0.005445|225449694.18185103|1168528.8063842473|15350|0.005428|14165.7619|0.005462|1846.886
SUPERUSDT|superusdt|1.2032|1.2319|1.07|1.1159|67444.55054313157|79199.34984072|1991|1.1125|123.3582|1.1223|1288.7521
SOLOUSDT|solousdt|0.16668|0.1707|0.16393|0.16589|1444673.1665738085|240367.683180563|5987|0.16541|205.9685|0.1658|284.015
LINKUSDT|linkusdt|19.7915|20.1877|19.2202|19.6511|964290.4110758277|19086740.6852498|87655|19.6419|10.22|19.6538|57.03
STGUSDT|stgusdt|0.7041|0.7126|0.6722|0.6722|6528.492544813682|4564.42975451|54|0.6843|291.6314|0.6869|2399.0694
DOTUSDD|dotusdd|7.725|8.1563|7.6362|7.8153|28749.326758195737|225536.33740576|2295|7.8111|64.7967|7.8329|112.5512
LRCUSDT|lrcusdt|0.2646|0.2695|0.26|0.2669|1970981.8970939578|522343.01534407|14322|0.267|112.3596|0.2673|5175.6676
ADPUSDT|adpusdt|0.002276|0.0024|0.002189|0.002386|35079576.28408687|81694.6433804879|3330|0.002386|21340.9874|0.0024|3824.4236
REIUSDT|reiusdt|0.032423|0.03255|0.031914|0.032345|44232.299487247255|1432.1620294266|23|0.032248|4115.2263|0.03236|5213.6009
MEMEUSDT|memeusdt|0.027624|0.028162|0.0265|0.027272|161494235.1903763|4455016.0527673485|54613|0.027252|458.5364|0.027265|11530.6796
RDNTUSDT|rdntusdt|0.3397|0.3443|0.3264|0.3366|10622632.135126239|3583683.15455641|40841|0.3365|283.5942|0.3367|37.408
VISIONUSDT|visionusdt|0.0068808|0.0068815|0.0066089|0.0066549|3120821.3655|21062.01768171614|1072|0.0066236|5313.7932|0.006753|19128.3542
KTUSDT|ktusdt|0.001035|0.001035|0.001008|0.001009|38235874.94059033|38956.3866698653|1265|0.001008|13749.5191|0.00101|50652.1733
SORAUSDT|sorausdt|0.005|0.026|0.005|0.02207|36430248.59121186|800789.0614552288|12374|0.02204|516.8058|0.02211|740.5934
TAVAUSDT|tavausdt|0.07096|0.07148|0.06834|0.06972|14283698.819218429|1002652.3176242991|23484|0.06944|652.8261|0.07|204.06502484285716
DFIUSDT|dfiusdt|0.0864|0.0874|0.0814|0.0826|32467268.577220906|2734183.77665031|58329|0.0823|1885.0742|0.083|8189.0
MONOUSDT|monousdt|0.0126|0.0138|0.0125|0.0126|20094.990719402984|261.35372064|16|0.0126|856.9317|0.0132|2800.0
FNSAUSDT|fnsausdt|31.9856|32.9767|31.6|32.2113|5052.881796810334|162994.70102105|5269|32.1696|0.3253|32.256|0.3197
ROCKUSDT|rockusdt|0.00020127|0.000202|0.00019802|0.00020095|6518734137.625393|1301409.209453412|35324|0.00019986|145870.81|0.00020201|273363.16
INRUSDT|inrusdt|0.019705|0.019973|0.019102|0.019838|2719849.21107642|53518.35400578827|4177|0.01958|7369.34|0.020166|826.2813
XDEFIUSDT|xdefiusdt|0.1406|0.1414|0.1392|0.1392|347306.1184|48939.21433416|3622|0.1392|345.6642|0.1399|1005.1326
TRXUSDT|trxusdt|0.136265|0.137858|0.135808|0.137616|165106200.71687174|22532405.291967306|68164|0.13762|936.81|0.137621|317.34
LPTUSDT|lptusdt|16.8449|17.7823|15.1301|15.486|187764.2728142899|3091337.77179466|45147|15.4636|10.3324|15.5006|3.5
GRAILUSDT|grailusdt|1859.91|1967.49|1854.28|1905.42|433.587052|814347.49103079|14109|1872.23|0.018129|1933.58|0.058667
HFTUSDT|hftusdt|0.3835|0.4079|0.3661|0.3807|21647922.655196074|8256571.78345061|131671|0.38|3544.5281|0.3814|189.8477
ORBSUSDT|orbsusdt|0.038087|0.039779|0.037432|0.039743|9263679.1141|353959.792278019|7940|0.039693|5023.3624|0.039804|251.2311
MBOXUSDT|mboxusdt|0.3433|0.3592|0.3376|0.3454|632082.8013275991|218942.27638454|4698|0.3451|297.9146|0.3462|844.1197
GRTUSDT|grtusdt|0.255362|0.256362|0.24237|0.249815|11551258.074208107|2896878.6566979587|60704|0.24982|804.922|0.250051|11397.0937
NEXTUSDT|nextusdt|0.4007|0.4066|0.3797|0.3848|2688478.361429414|1066018.12054124|18520|0.3833|31.3938|0.3859|126.4195
BANANAUSDT|bananausdt|26.6753|27.7472|26.3759|26.4579|39456.6323726653|1051600.2012286966|13679|26.3759|240.4095|26.5276|1.2821
EPIKUSDT|epikusdt|0.016182|0.016689|0.014268|0.014458|4333734.011816824|69831.1485315249|3382|0.014389|1797.8252|0.014687|2480.0821
BBFUSDT|bbfusdt|0.1585|0.1739|0.1485|0.1538|3489272.167758292|548782.78937832|11737|0.1521|157.4259|0.1555|135.3012
