gen_name|original_name|base_currency|quote_currency|display_name|base_display_name|quote_display_name|price_step|qty_step|qty_min|quote_qty_step|quote_qty_min|taker_fee_rate|maker_fee_rate|groups|group_steps|status|display_status
DRACUSDT|DRAC-USDT|DRAC|USDT|DRAC-USDT|DRAC|USDT|0.0001|1|1|0.000000000001|10|0.000700000000|0.000200000000|['1', '10', '100', '1000']|['0.000100000000', '0.001000000000', '0.010000000000', '0.100000000000']|1|2
DRAGUSDT|DRAG-USDT|DRAG|USDT|DRAG-USDT|DRAG|USDT|0.00001|1|1|0.000000000001|10|0.000700000000|0.000200000000|['1', '10', '100', '1000']|['0.000010000000', '0.000100000000', '0.001000000000', '0.010000000000']|1|2
DYDXUSDT|DYDX-USDT|DYDX|USDT|DYDX-USDT|DYDX|USDT|0.001|0.1|0.1|0.000000000001|10|0.001000000000|0.000800000000|['1', '10', '100', '1000']|['0.001000000000', '0.010000000000', '0.100000000000', '1.000000000000']|1|1
ENJUSDT|ENJ-USDT|ENJ|USDT|ENJ-USDT|ENJ|USDT|0.001|0.1|0.1|0.000000000001|10|0.001000000000|0.000800000000|['1', '10', '100', '1000']|['0.001000000000', '0.010000000000', '0.100000000000', '1.000000000000']|1|2
ENSUSDT|ENS-USDT|ENS|USDT|ENS-USDT|ENS|USDT|0.01|0.01|0.01|0.000000000001|1|0.001000000000|0.000800000000|['1', '10', '100', '1000']|['0.010000000000', '0.100000000000', '1.000000000000', '10.000000000000']|1|2
EORBUSDT|EORB-USDT|EORB|USDT|EORB-USDT|EORB|USDT|0.0001|1|1|0.000000000001|10|0.000700000000|0.000200000000|['1', '10', '100', '1000']|['0.000100000000', '0.001000000000', '0.010000000000', '0.100000000000']|1|2
EPICUSDT|EPIC-USDT|EPIC|USDT|EPIC-USDT|EPIC|USDT|0.00001|1|1|0.000000000001|10|0.000700000000|0.000200000000|['1', '10', '100', '1000']|['0.000010000000', '0.000100000000', '0.001000000000', '0.010000000000']|1|2
ETCUSDT|ETC-USDT|ETC|USDT|ETC-USDT|ETC|USDT|0.01|0.01|0.01|0.000000000001|10|0.001000000000|0.000800000000|['1', '10', '100', '1000']|['0.010000000000', '0.100000000000', '1.000000000000', '10.000000000000']|1|1
ETHBTC|ETH-BTC|ETH|BTC|ETH-BTC|ETH|BTC|0.000001|0.0001|0.0001|0.000000000001|0.000001|0.001000000000|0.000800000000|['1', '10', '100', '1000']|['0.000001000000', '0.000010000000', '0.000100000000', '0.001000000000']|1|1
ETHUSD|ETH-USD|ETH|USD|ETH-USD|ETH|USD|0.01|0.0001|0.001|0.000000000001|10|0.001000000000|0.000800000000|['1', '10', '100', '1000']|['0.010000000000', '0.100000000000', '1.000000000000', '10.000000000000']|1|2
ETHUSDT|ETH-USDT|ETH|USDT|ETH-USDT|ETH|USDT|0.01|0.0001|0.001|0.000000000001|10|0.001000000000|0.000800000000|['1', '10', '100', '1000']|['0.010000000000', '0.100000000000', '1.000000000000', '10.000000000000']|1|1
ETHIUSDT|ETHI-USDT|ETHI|USDT|ETHI-USDT|ETHI|USDT|0.000001|1|1|0.000000000001|10|0.000700000000|0.000200000000|['1', '10', '100', '1000']|['0.000001000000', '0.000010000000', '0.000100000000', '0.001000000000']|1|2
ETHSUSDT|ETHS-USDT|ETHS|USDT|ETHS-USDT|ETHS|USDT|0.1|0.01|0.01|0.000000000001|10|0.002000000000|0.002000000000|['1', '10']|['0.100000000000', '1.000000000000']|1|1
ETHWUSDT|ETHW-USDT|ETHW|USDT|ETHW-USDT|ETHW|USDT|0.01|0.01|0.01|0.000000000001|10|0.001000000000|0.000800000000|['1', '10', '100', '1000']|['0.010000000000', '0.100000000000', '1.000000000000', '10.000000000000']|1|1
EURTUSDT|EURT-USDT|EURT|USDT|EURT-USDT|EURT|USDT|0.0001|1|1|0.000000000001|10|0.000700000000|0.000200000000|['1', '10', '100', '1000']|['0.000100000000', '0.001000000000', '0.010000000000', '0.100000000000']|1|1
