coin|name|inner_coin|inner_name|depositenable|withdrawenable|network
PABLO|Pablo DeFi|PABLO|Pablo DeFi|True|True|Ethereum(ERC20)
TOKE|Tokemak|TOKE|Tokemak|True|True|Ethereum(ERC20)
APFC|APF Coin|APFC|APF Coin|True|True|Ethereum(ERC20)
SML|Smell Token|SML|Smell Token|True|True|Polygon(MATIC)
ACSOLD|ACryptoS|ACSOLD|ACryptoS|False|False|BNB Smart Chain(BEP20)
TOKA|Tonka Finance|TOKA|Tonka Finance|True|True|Ethereum(ERC20)
BLA|BLUEART TOKEN|BLA|BLUEART TOKEN|True|True|BNB Smart Chain(BEP20)
XCOREUM|XCOREUM|XCOREUM|XCOREUM|False|True|Ripple(XRP)
WGRT|WGRT|WGRT|WGRT|False|True|WICC
SMT|Swarm Markets|SMT|Swarm Markets|True|True|Ethereum(ERC20)
APEX|ApeX Protocol|APEX|ApeX Protocol|True|True|Ethereum(ERC20)
CEJI|CEJI|CEJI|CEJI|True|True|Ethereum(ERC20)
BLK|Black Whale|BLK|Black Whale|False|True|BNB Smart Chain(BEP20)
TOMS|TomTom Coin|TOMS|TomTom Coin|True|True|Ethereum(ERC20)
BLP|BullPerks|BLP|BullPerks|True|True|BNB Smart Chain(BEP20)
BLS|BlueSale Finance|BLS|BlueSale Finance|True|True|Arbitrum One(ARB)
SNC|SonicPad|SNC|SonicPad|False|True|BNB Smart Chain(BEP20)
SNE|StrongNode Edge|SNE|StrongNode Edge|False|True|Polygon(MATIC)
BLT|Blocto Token|BLT|Blocto Token|True|True|BNB Smart Chain(BEP20)
BLT|Blocto Token|BLT|Blocto Token|True|True|Solana(SOL)
BLY|Blocery|BLY|Blocery|True|True|Ethereum(ERC20)
BLZ|Bluzelle|BLZ|Bluzelle|True|True|Ethereum(ERC20)
IONX|Charged Particles|IONX|Charged Particles|True|True|Ethereum(ERC20)
SNM|SONM|SNM|SONM|False|False|Ethereum(ERC20)
SNP|SNP Token|SNP|SNP Token|False|True|Ethereum(ERC20)
SNT|StatusNetwork|SNT|StatusNetwork|True|True|Ethereum(ERC20)
SNS|Sonorus|SNS|Sonorus|True|True|BNB Smart Chain(BEP20)
SNX|SNX|SNX|SNX|True|True|Ethereum(ERC20)
