gen_name|name_BIT|name_EXMO|name_HTX|name_OKX|name_MEXC|count_none
XRPBTC|None|XRP_BTC|xrpbtc|XRP-BTC|XRPBTC|1
SATSUSDT|SATS-USDT|None|satsusdt|SATS-USDT|SATSUSDT|1
NPTUSDT|None|None|nptusdt|None|NPTUSDT|3
STRMUSDT|None|None|strmusdt|None|STRMUSDT|3
NMRUSDT|None|None|None|NMR-USDT|NMRUSDT|3
KRIPTOUSDT|None|None|kriptousdt|None|KRIPTOUSDT|3
RVNUSDT|None|None|rvnusdt|RVN-USDT|RVNUSDT|2
RLYUSDT|None|None|rlyusdt|None|RLYUSDT|3
EOSUSDT|None|EOS_USDT|eosusdt|EOS-USDT|EOSUSDT|1
CETUSUSDT|None|None|None|CETUS-USDT|CETUSUSDT|3
NEOBTC|None|NEO_BTC|None|NEO-BTC|NEOBTC|2
MDXUSDT|None|None|mdxusdt|None|MDXUSDT|3
LITHUSDT|None|None|lithusdt|LITH-USDT|LITHUSDT|2
USDPUSDT|None|None|usdpusdt|None|USDPUSDT|3
QUICKUSDT|None|None|quickusdt|None|QUICKUSDT|3
AKROUSDT|None|None|akrousdt|None|AKROUSDT|3
GASUSDT|None|GAS_USDT|gasusdt|GAS-USDT|GASUSDT|1
ACEUSDT|None|None|aceusdt|ACE-USDT|ACEUSDT|2
POOLXUSDT|None|None|poolxusdt|None|POOLXUSDT|3
BABYUSDT|None|None|babyusdt|None|BABYUSDT|3
CELOUSDT|None|None|celousdt|CELO-USDT|CELOUSDT|2
PEPEUSDT|PEPE-USDT|PEPE_USDT|pepeusdt|PEPE-USDT|PEPEUSDT|0
OMGUSDT|OMG-USDT|None|omgusdt|OMG-USDT|OMGUSDT|1
XENUSDT|None|None|xenusdt|None|XENUSDT|3
XTMUSDT|None|None|xtmusdt|None|XTMUSDT|3
SAMOUSDT|None|None|None|SAMO-USDT|SAMOUSDT|3
STXUSDT|None|None|None|STX-USDT|STXUSDT|3
LUNAUSDC|None|None|None|LUNA-USDC|LUNAUSDC|3
STETHUSDT|STETH-USDT|None|stethusdt|STETH-USDT|STETHUSDT|1
BLZUSDT|None|None|blzusdt|None|BLZUSDT|3
CGPTUSDT|None|None|cgptusdt|None|CGPTUSDT|3
MLNUSDT|None|None|mlnusdt|MLN-USDT|MLNUSDT|2
WBTCUSDT|None|None|None|WBTC-USDT|WBTCUSDT|3
WAVESUSDT|None|None|wavesusdt|None|WAVESUSDT|3
APEUSDT|APE-USDT|None|apeusdt|APE-USDT|APEUSDT|1
BTCRUB|None|BTC_RUB|btcrub|None|None|3
AXSUSDT|AXS-USDT|None|axsusdt|AXS-USDT|AXSUSDT|1
NEXTUSDT|None|None|nextusdt|None|NEXTUSDT|3
LAMBUSDT|None|None|lambusdt|LAMB-USDT|LAMBUSDT|2
MYROUSDT|None|None|myrousdt|None|MYROUSDT|3
FILUSDC|None|None|None|FIL-USDC|FILUSDC|3
UMAUSDT|None|None|umausdt|UMA-USDT|UMAUSDT|2
MDTUSDT|None|None|None|MDT-USDT|MDTUSDT|3
MCONTENTUSDT|None|None|mcontentusdt|None|MCONTENTUSDT|3
RPLUSDT|None|None|rplusdt|RPL-USDT|RPLUSDT|2
MANAUSDT|MANA-USDT|MANA_USDT|manausdt|MANA-USDT|MANAUSDT|0
FILUSDT|FIL-USDT|None|filusdt|FIL-USDT|FILUSDT|1
SRMUSDT|None|None|srmusdt|None|SRMUSDT|3
RENUSDT|None|None|renusdt|REN-USDT|RENUSDT|2
UFTUSDT|None|None|uftusdt|None|UFTUSDT|3
TUSDT|None|None|tusdt|T-USDT|TUSDT|2
UNIBTC|None|UNI_BTC|None|UNI-BTC|None|3
KTUSDT|None|None|ktusdt|None|KTUSDT|3
DKSUSDT|None|None|dksusdt|None|DKSUSDT|3
ONDOUSDT|None|None|ondousdt|None|ONDOUSDT|3
GNOUSDT|None|None|gnousdt|None|GNOUSDT|3
FSNUSDT|None|None|fsnusdt|None|FSNUSDT|3
SAROSUSDT|None|None|sarosusdt|None|SAROSUSDT|3
VRUSDT|None|None|vrusdt|None|VRUSDT|3
MINAUSDC|None|None|None|MINA-USDC|MINAUSDC|3
OMGBTC|None|OMG_BTC|None|None|OMGBTC|3
BORINGUSDT|None|None|boringusdt|BORING-USDT|BORINGUSDT|2
ZILUSDT|None|None|zilusdt|ZIL-USDT|ZILUSDT|2
BBFUSDT|None|None|bbfusdt|None|BBFUSDT|3
TONUSDT|None|TON_USDT|tonusdt|TON-USDT|TONUSDT|1
RUNEUSDT|None|None|runeusdt|None|RUNEUSDT|3
SRTUSDT|None|None|srtusdt|None|SRTUSDT|3
OCEANUSDT|None|None|oceanusdt|None|OCEANUSDT|3
XPETUSDT|None|None|xpetusdt|None|XPETUSDT|3
USDJUSDT|None|None|usdjusdt|None|USDJUSDT|3
HIFIUSDT|None|None|hifiusdt|None|HIFIUSDT|3
ZKPUSDT|None|None|zkpusdt|None|ZKPUSDT|3
CAPOUSDT|None|None|capousdt|None|CAPOUSDT|3
ADAUSDT|ADA-USDT|ADA_USDT|adausdt|ADA-USDT|ADAUSDT|0
POLYDOGEUSDT|None|None|None|POLYDOGE-USDT|POLYDOGEUSDT|3
NEARUSDC|None|None|None|NEAR-USDC|NEARUSDC|3
CRVUSDT|CRV-USDT|None|crvusdt|CRV-USDT|CRVUSDT|1
AIUSDT|None|None|aiusdt|None|AIUSDT|3
SHIBUSDT|SHIB-USDT|SHIB_USDT|shibusdt|SHIB-USDT|SHIBUSDT|0
CONVUSDT|None|None|None|CONV-USDT|CONVUSDT|3
ETCUSDT|ETC-USDT|ETC_USDT|etcusdt|ETC-USDT|ETCUSDT|0
WAXPUSDT|None|None|waxpusdt|WAXP-USDT|WAXPUSDT|2
AURORAUSDT|None|None|aurorausdt|None|AURORAUSDT|3
PLCUUSDT|None|PLCU_USDT|None|None|PLCUUSDT|3
PLAUSDT|None|None|plausdt|None|PLAUSDT|3
ATOMBTC|None|ATOM_BTC|atombtc|ATOM-BTC|ATOMBTC|1
ALPHAUSDT|None|None|None|ALPHA-USDT|ALPHAUSDT|3
ETHTUSD|None|None|ethtusd|None|ETHTUSD|3
SHIBUSDC|None|None|None|SHIB-USDC|SHIBUSDC|3
XPRUSDT|None|None|None|XPR-USDT|XPRUSDT|3
WMTUSDT|None|None|wmtusdt|None|WMTUSDT|3
PONDUSDT|None|None|pondusdt|None|PONDUSDT|3
MKRBTC|None|MKR_BTC|None|MKR-BTC|None|3
NAKAUSDT|None|None|nakausdt|None|NAKAUSDT|3
BCHUSDC|None|None|None|BCH-USDC|BCHUSDC|3
DFIUSDT|DFI-USDT|None|dfiusdt|None|DFIUSDT|2
SWAPUSDT|None|None|swapusdt|None|SWAPUSDT|3
JOEUSDT|None|None|joeusdt|JOE-USDT|JOEUSDT|2
MCRTUSDT|None|None|mcrtusdt|None|MCRTUSDT|3
USDDUSDC|None|None|usddusdc|None|USDDUSDC|3
LVNUSDT|None|None|lvnusdt|None|LVNUSDT|3
AZEROUSDT|None|None|azerousdt|None|AZEROUSDT|3
WENUSDT|None|None|wenusdt|None|WENUSDT|3
TRIBEUSDT|None|None|tribeusdt|None|TRIBEUSDT|3
REIUSDT|None|None|reiusdt|None|REIUSDT|3
SCUSDT|None|None|scusdt|SC-USDT|SCUSDT|2
PORUSDT|None|None|None|POR-USDT|PORUSDT|3
FETUSDT|None|None|fetusdt|FET-USDT|FETUSDT|2
IQUSDT|None|None|None|IQ-USDT|IQUSDT|3
DYPUSDT|None|None|dypusdt|None|DYPUSDT|3
PUSHUSDT|None|None|pushusdt|None|PUSHUSDT|3
GRTUSDT|GRT-USDT|None|grtusdt|GRT-USDT|GRTUSDT|1
OKBUSDT|None|None|None|OKB-USDT|OKBUSDT|3
TIAUSDT|None|None|tiausdt|TIA-USDT|TIAUSDT|2
TLMUSDT|None|None|tlmusdt|None|TLMUSDT|3
BTCBRL|None|None|btcbrl|BTC-BRL|None|3
COMUSDT|None|None|comusdt|None|COMUSDT|3
