gen_name|original_name|last|lastSz|askPx|askSz|bidPx|bidSz|open24h|high24h|low24h|volCcy24h|vol24h|ts|sodUtc0|sodUtc8|alias|baseCcy|category|ctMult|ctType|ctVal|ctValCcy|expTime|instFamily|instType_y|lever|listTime|lotSz|maxIcebergSz|maxLmtAmt|maxLmtSz|maxMktAmt|maxMktSz|maxStopSz|maxTriggerSz|maxTwapSz|minSz|optType|quoteCcy|settleCcy|state|stk|tickSz|uly
SANDUSDC|SAND-USDC|0.5226|515.0761|0.5237|1827.6415|0.523|510|0.5145|0.5326|0.5086|41253.05857385|79490.4132|1708432124908|0.5289|0.5181||SAND|1|||||||SPOT|5|1653975320000|0.0001|99999999999999.0000000000000000|20000000|99999999999999|1000000|1000000|1000000|99999999999999.0000000000000000|99999999999999.0000000000000000|10||USDC||live||0.0001|
APTUSDT|APT-USDT|9.8951|26.6963|9.8961|12.8358|9.8925|10|10.1195|10.2583|9.6232|14581759.01071131|1464258.3712|1708432124412|10.1169|9.9156||APT|1|||||||SPOT|10|1666141200000|0.0001|99999999999999.0000000000000000|20000000|99999999999999|1000000|1000000|1000000|99999999999999.0000000000000000|99999999999999.0000000000000000|0.1||USDT||live||0.0001|
FRONTUSDT|FRONT-USDT|0.5397|79.840691|0.5403|199.148732|0.5398|398.907929|0.5298|0.5512|0.5241|510533.7913564348|955577.909937|1708432125012|0.5404|0.5276||FRONT|1|||||||SPOT|5|1600144020000|0.000001|999999999999.0000000000000000|20000000|999999999999|1000000|1000000|1000000|999999999999.0000000000000000|999999999999.0000000000000000|10||USDT||live||0.0001|
GASUSDT|GAS-USDT|6.531|3|6.535|17.573562|6.531|188.402914|6.499|6.59|6.352|799187.546029706|123359.865461|1708432124605|6.538|6.498||GAS|1|||||||SPOT|5|1548133413000|0.000001|999999999999.0000000000000000|20000000|999999999999|1000000|1000000|1000000|999999999999.0000000000000000|999999999999.0000000000000000|1||USDT||live||0.001|
TRXUSDT|TRX-USDT|0.13805|1056.785817|0.13806|1423.538081|0.13804|22486.150354|0.13585|0.13809|0.13547|5146651.6899067796|37672692.906043|1708432124912|0.13635|0.13623||TRX|1|||||||SPOT|10|1548133413000|0.000001|999999999999.0000000000000000|20000000|999999999999|1000000|1000000|1000000|999999999999.0000000000000000|999999999999.0000000000000000|10||USDT||live||0.00001|
CELRUSDT|CELR-USDT|0.02326|531.450494|0.0233|13800.864259|0.02326|6100|0.02288|0.02377|0.02242|301179.84752489276|12953448.600774|1708432121612|0.0235|0.0234||CELR|1|||||||SPOT|5|1617008400000|0.000001|999999999999.0000000000000000|20000000|999999999999|1000000|1000000|1000000|999999999999.0000000000000000|999999999999.0000000000000000|100||USDT||live||0.00001|
CELOUSDT|CELO-USDT|0.7778|251.25|0.7782|251.25|0.7779|251.25|0.7784|0.8024|0.7448|2153924.3931660088|2766848.546114|1708432121115|0.7839|0.7884||CELO|1|||||||SPOT|5|1594939857000|0.000001|999999999999.0000000000000000|20000000|999999999999|1000000|1000000|1000000|999999999999.0000000000000000|999999999999.0000000000000000|10||USDT||live||0.0001|
CSPRUSDC|CSPR-USDC|0.03772|556.333|0.03795|29372.4395|0.03781|10843.6921|0.03866|0.03953|0.03766|31146.082504749|813786.1499|1708432125104|0.03875|0.0388||CSPR|1|||||||SPOT||1658816142000|0.0001|99999999999999.0000000000000000|20000000|99999999999999|1000000|1000000|1000000|99999999999999.0000000000000000|99999999999999.0000000000000000|100||USDC||live||0.00001|
SANDUSDT|SAND-USDT|0.523|2256.047548|0.5231|1125|0.523|603.13939|0.5138|0.5331|0.508|3809033.4063680428|7339506.232458|1708432125104|0.5284|0.518||SAND|1|||||||SPOT|5|1616029200000|0.000001|999999999999.0000000000000000|20000000|999999999999|1000000|1000000|1000000|999999999999.0000000000000000|999999999999.0000000000000000|10||USDT||live||0.0001|
LATUSDT|LAT-USDT|0.00921|4576.732913|0.00921|6696.78547|0.00919|6275.597031|0.00893|0.00985|0.00887|898639.48637027742|97100547.005102|1708432123215|0.00951|0.00896||LAT|1|||||||SPOT|3|1620791102000|0.000001|999999999999.0000000000000000|20000000|999999999999|1000000|1000000|1000000|999999999999.0000000000000000|999999999999.0000000000000000|100||USDT||live||0.00001|
APTUSDC|APT-USDC|9.9083|0.8428|9.9034|24.1447|9.8939|40.4111|10.1092|10.26|9.6335|134725.28136141|13571.2139|1708432124705|10.1076|9.9051||APT|1|||||||SPOT|10|1666141200000|0.0001|99999999999999.0000000000000000|20000000|99999999999999|1000000|1000000|1000000|99999999999999.0000000000000000|99999999999999.0000000000000000|0.1||USDC||live||0.0001|
DMAILUSDT|DMAIL-USDT|0.7562|491.006|0.7587|14.955|0.7563|103.21|0.7898|0.7976|0.6567|6948206.1629267|9436658.842|1708432125012|0.7499|0.7253||DMAIL|1|||||||SPOT|5|1706520963000|0.001|999999999999999.0000000000000000|20000000|999999999999999|1000000|1000000|1000000|999999999999999.0000000000000000|999999999999999.0000000000000000|10||USDT||live||0.0001|
KLAYUSDT|KLAY-USDT|0.2357|127.468499|0.2357|2966.636595|0.2355|400.738939|0.2325|0.243|0.2281|777318.6458070933|3295402.310785|1708432123505|0.2375|0.2339||KLAY|1|||||||SPOT|5|1599703200000|0.000001|999999999999.0000000000000000|20000000|999999999999|1000000|1000000|1000000|999999999999.0000000000000000|999999999999.0000000000000000|10||USDT||live||0.0001|
TUSDT|T-USDT|0.02995|5653.4905|0.02997|12000|0.02995|7200|0.02975|0.03029|0.02908|379779.865263898|12804740.0343|1708432116513|0.03|0.02988||T|1|||||||SPOT||1617163770000|0.0001|99999999999999.0000000000000000|20000000|99999999999999|1000000|1000000|1000000|99999999999999.0000000000000000|99999999999999.0000000000000000|100||USDT||live||0.00001|
SUNUSDT|SUN-USDT|0.008909|2090.938375|0.00891|287.019879|0.008901|2228.222052|0.009008|0.009097|0.00885|223322.275178401917|24940576.20068|1708432125104|0.00897|0.009017||SUN|1|||||||SPOT||1625468400000|0.000001|999999999999.0000000000000000|20000000|999999999999|1000000|1000000|1000000|999999999999.0000000000000000|999999999999.0000000000000000|100||USDT||live||0.000001|
CROUSDT|CRO-USDT|0.09189|1102.228471|0.09193|739.671926|0.09189|2802.171926|0.09088|0.09253|0.08976|1225515.52570391059|13480882.239739|1708432122804|0.09193|0.09082||CRO|1|||||||SPOT|5|1548133413000|0.000001|999999999999.0000000000000000|20000000|999999999999|1000000|1000000|1000000|999999999999.0000000000000000|999999999999.0000000000000000|10||USDT||live||0.00001|
