gen_name|original_name|best_bid|best_ask|best_bid_qty|best_ask_qty|last_price|last_qty|open24h|high24h|low24h|price_change24h|volume24h|volume_usd24h|quote_volume24h|display_name_x|quote_index_price|index_price|index_high24h|index_low24h|index_price_change24h|base_currency|quote_currency|display_name_y|base_display_name|quote_display_name|price_step|qty_step|qty_min|quote_qty_step|quote_qty_min|taker_fee_rate|maker_fee_rate|groups|group_steps|status|display_status
RACAUSDT|RACA-USDT|0.000166000000|0.000169000000|1999996.000000000000|1703911.000000000000|0.000167000000|879103.000000000000|0.000162000000|0.000170000000|0.000161000000|0.030864197531|2555140789.000000000000|424786.487967909583|424467.486844000000|RACA-USDT||||||RACA|USDT|RACA-USDT|RACA|USDT|0.000001|1|1000|0.000000000001|10|0.001000000000|0.000800000000|['1', '10', '100', '1000']|['0.000001000000', '0.000010000000', '0.000100000000', '0.001000000000']|1|1
RATSUSDT|RATS-USDT|0.000261000000|0.000264000000|448322.000000000000|7372469.000000000000|0.000261000000|11460.000000000000|0.000254000000|0.000265000000|0.000249000000|0.027559055118|24297705.000000000000|6234.866856706005|6230.528896000000|RATS-USDT||||||RATS|USDT|RATS-USDT|RATS|USDT|0.000001|1|1|0.000000000001|1|0.002000000000|0.002000000000|['1', '10', '100', '1000']|['0.000001000000', '0.000010000000', '0.000100000000', '0.001000000000']|1|1
RNDRUSDT|RNDR-USDT|5.455400000000|5.472000000000|9.000000000000|113.000000000000|5.470100000000|4.000000000000|4.942000000000|5.552400000000|4.800500000000|0.106859571024|551299.000000000000|2829286.270786958966|2827142.386300000000|RNDR-USDT||||||RNDR|USDT|RNDR-USDT|RNDR|USDT|0.0001|1|1|0.000000000001|10|0.001000000000|0.000800000000|['1', '10', '100', '1000']|['0.000100000000', '0.001000000000', '0.010000000000', '0.100000000000']|1|1
RSS3USDT|RSS3-USDT|0.000100000000|0.146700000000|100000.000000000000|90.000000000000|0.145600000000|4020.000000000000|0.144200000000|0.147700000000|0.072200000000|0.009708737864|5795630.000000000000|824797.349764720091|824173.385000000000|RSS3-USDT||||||RSS3|USDT|RSS3-USDT|RSS3|USDT|0.0001|10|10|0.000000000001|10|0.001000000000|0.000800000000|['1', '10', '100', '1000']|['0.000100000000', '0.001000000000', '0.010000000000', '0.100000000000']|1|1
SANDUSDT|SAND-USDT|0.498400000000|0.499100000000|98.000000000000|100.000000000000|0.498600000000|354.000000000000|0.483700000000|0.503300000000|0.482100000000|0.030804217490|490590.000000000000|241982.377267115784|241802.601700000000|SAND-USDT||||||SAND|USDT|SAND-USDT|SAND|USDT|0.0001|1|1|0.000000000001|1|0.001000000000|0.000800000000|['1', '10', '100', '1000']|['0.000100000000', '0.001000000000', '0.010000000000', '0.100000000000']|1|1
SATSUSDT|SATS-USDT|0.000000479000|0.000000482000|478469838.000000000000|478469834.000000000000||||||0.000000000000|0.000000000000|0.000000000000|0.000000000000|SATS-USDT||||||SATS|USDT|SATS-USDT|SATS|USDT|0.000000001|1|1|0.000000000001|10|0.002000000000|0.002000000000|['1', '10', '100', '1000']|['0.000000001000', '0.000000010000', '0.000000100000', '0.000001000000']|1|2
SBCHUSDT|SBCH-USDT|279.920000000000|281.110000000000|0.048300000000|0.048100000000|280.980000000000|0.010200000000|280.980000000000|280.980000000000|280.980000000000|0.000000000000|0.000000000000|0.000000000000|0.000000000000|SBCH-USDT||||||SBCH|USDT|SBCH-USDT|SBCH|USDT|0.01|0.0001|0.001|0.000000000001|10|0.001000000000|0.000800000000|['1', '10', '100', '1000']|['0.010000000000', '0.100000000000', '1.000000000000', '10.000000000000']|1|1
SDUSDT|SD-USDT|0.950000000000|0.953600000000|40.000000000000|140.000000000000|0.951100000000|140.000000000000|0.962600000000|0.975000000000|0.479400000000|-0.011946810721|184990.000000000000|178559.919952842446|178424.597000000000|SD-USDT||||||SD|USDT|SD-USDT|SD|USDT|0.0001|10|10|0.000000000001|10|0.001000000000|0.000800000000|['1', '10', '100', '1000']|['0.000100000000', '0.001000000000', '0.010000000000', '0.100000000000']|1|1
SHIBUSDT|SHIB-USDT|0.000009920000|0.000009930000|21471317.000000000000|4967304.000000000000|0.000009930000|1076654.000000000000|0.000009750000|0.000010040000|0.000009710000|0.018461538462|35785930256.000000000000|353978.458476602180|353726.126048390000|SHIB-USDT||||||SHIB|USDT|SHIB-USDT|SHIB|USDT|0.00000001|1|1|0.000000000001|10|0.001000000000|0.000800000000|['1', '10', '100', '1000']|['0.000000010000', '0.000000100000', '0.000001000000', '0.000010000000']|1|1
SOLUSDT|SOL-USDT|112.970000000000|113.080000000000|0.870000000000|0.880000000000|112.990000000000|0.380000000000|115.010000000000|117.200000000000|111.550000000000|-0.017563690114|104852.420000000000|12002955.618443990199|11993667.508000000000|SOL-USDT||||||SOL|USDT|SOL-USDT|SOL|USDT|0.01|0.01|0.01|0.000000000001|10|0.001000000000|0.000800000000|['1', '10', '100', '1000']|['0.010000000000', '0.100000000000', '1.000000000000', '10.000000000000']|1|1
SOMMUSDT|SOMM-USDT|0.216540000000|0.220960000000|61.000000000000|61.000000000000|0.216550000000|77.000000000000|0.196980000000|0.220940000000|0.196820000000|0.099350187836|2495539.000000000000|521092.927446487194|520696.190580000000|SOMM-USDT||||||SOMM|USDT|SOMM-USDT|SOMM|USDT|0.00001|1|1|0.000000000001|10|0.001000000000|0.000800000000|['1', '10', '100', '1000']|['0.000010000000', '0.000100000000', '0.001000000000', '0.010000000000']|1|1
STETHUSDT|STETH-USDT|2830.500000000000|2836.000000000000|0.059400000000|0.052400000000|2833.100000000000|0.009800000000|2783.300000000000|2846.800000000000|2781.100000000000|0.017892429849|114.776000000000|323223.692462234195|322987.530740000000|STETH-USDT||||||STETH|USDT|STETH-USDT|STETH|USDT|0.1|0.0001|0.001|0.000000000001|10|0.001000000000|0.000800000000|['1', '10', '100', '1000']|['0.100000000000', '1.000000000000', '10.000000000000', '100.000000000000']|1|1
SUSHIUSDT|SUSHI-USDT|1.296000000000|1.311000000000|2000.000000000000|2000.000000000000|1.303000000000|704.400000000000|1.199000000000|1.351000000000|1.195000000000|0.086738949124|1368645.100000000000|1718161.728813432220|1716797.825700000000|SUSHI-USDT||||||SUSHI|USDT|SUSHI-USDT|SUSHI|USDT|0.001|0.1|0.1|0.000000000001|10|0.001000000000|0.000800000000|['1', '10', '100', '1000']|['0.001000000000', '0.010000000000', '0.100000000000', '1.000000000000']|1|1
TAMAUSDT|TAMA-USDT|0.000010000000|0.005000000000|1000000.000000000000|52907.000000000000|0.004960000000|20689.000000000000|0.005790000000|0.005960000000|0.004840000000|-0.143350604491|19455957.000000000000|110337.840455436461|110252.244810000000|TAMA-USDT||||||TAMA|USDT|TAMA-USDT|TAMA|USDT|0.00001|1|1|0.000000000001|10|0.001000000000|0.000800000000|['1', '10', '100', '1000']|['0.000010000000', '0.000100000000', '0.001000000000', '0.010000000000']|1|1
